country,alpha_2,alpha_3,region,subregion,intermediate_region
foslcpikzy,agrvczfpcs,AAA,nlhjdrbkxq,lsdchgfzxr,yzqunkhcpf
lecklxpttk,risuubmefi,AAB,ofvbklrjsb,ulgllstdcf,eofhkudzve
pvqahbsimf,cvqiqqpdap,AAC,bepktiihdi,wiobxzuhce,beiqnzrtic
sbwlmzafgg,hqlbxvsoto,AAD,zspfowqhbf,kjhqhoevtg,xqkjjbbwgq
sylfjsdicl,wbbkmxvyob,AAE,jnowgpyzcp,vbvzmjfpkn,faswpamavy
fdzntaosrp,jmpkshipgv,AAF,dvlgymhduj,chnsobxdnj,xkxtddwlxe
utqbkhrfsz,ygzlnxikpe,AAG,dnihrukbgs,hoashvnwlr,kjmobmftzs
zukymzgugb,kbmglfaknb,AAH,jvzmznmfbw,ixghrcwdnd,mcntrzosnv
gqhfgrxzmo,qhoqxvqiqy,AAI,xasrblcgqd,vxuvimyzcz,egukrnvtil
ydunfgfhyo,vupzzhfpwv,AAJ,lszgpwkkbr,wkymibjlxe,cifrixjjjh
rpysctanxv,vemtadcked,AAK,bsrytximkb,qakxnpjwaz,hqwablfsrj
mzhnwtoiee,nqhaqxuego,AAL,sxwovurbup,yaganawwve,wfpkrtwofq
jwchgqtwpj,hlekltnvlk,AAM,iidbtyrnpf,abilxwwunh,jqqmwbzrrl
wmhymyrxzp,jtykiwenbx,AAN,wksnvoeiku,tswipxtvwh,nvqgjrolhw
qkfqfrhyxd,vfscmsfuyh,AAO,gxzjftfain,zjglpychcx,bzeqeztxsb
igaatrtwdp,atclbkdgqv,AAP,skkhjcglrd,krnholqvum,zmlbgzhdas
mpueehcbjv,kawyqjxkfz,AAQ,srmgztgmvr,svtkkxwppq,cnlksltpvi
eouspuxzvh,nwhamwiiyt,AAR,uuroimreqz,weibgowuia,wjafghfjru
xmreogtkfo,crlqrlmvan,AAS,tkuwqxamwr,vvgcwnpewg,khqucmuhnv
dqphmbehgj,emvmhrswsu,AAT,jarkqbatcn,vykbokqbmi,wrjxkrlqbl
sxpsrlvulw,lbuhcqszbd,AAU,xkaerhvoau,tjaygjsymu,reqmknqvho
ftynbufifo,yhtoujstcu,AAV,nnqeufexwk,qnzefedpql,srezavybzs
ptzvkyiplo,iwldhiyiyx,AAW,uaxdvmeitd,epdsqpbuht,ffdvzigoys
xfclileddm,uszpxyashz,AAX,qxettbebhm,jhpslyncoy,mzctodayqa
ahhehxboau,meammsfzdn,AAY,yvumotqyhn,noxxupnxtu,dwvdmcudnn
mtmjdhpycn,czcrzomnjc,AAZ,hjhbjmvglk,ikexiolufm,aqweaxjxaa
epbbuglocg,rhkmnjaadi,ABA,kzrogzpgtj,isfraxkzbl,jhrcdaneqg
uummahqcft,ewfesaqmvk,ABB,gxnphvaqre,xvzxuubxdg,rgdjcudvqo
bfjrdjhqfv,rglrrctvfa,ABC,abxunxusoj,qejfvyuvab,usuzodossi
bzkypmrjmf,ztsmqblcuu,ABD,qdcxtvuzmu,zqoacbmmem,kdalzewllk
wpgohsyvak,ddbdjvoopk,ABE,xboihxfkmn,pfdhzrlvct,zvelzaoumm
mlkrevtphq,jvjivtnuzf,ABF,efdtbnhyzw,maazjfcnsh,zckrwrxbng
fpwzevtmcb,rlwvhwgehw,ABG,xazbmdmdbg,jtjfffqdyc,iimsulgtis
ntxxviqkqv,pfcgotqnqw,ABH,jczrsuhbbw,kllexnkqwr,xjyajvmckx
vhgnotzddg,mqkmgmwiky,ABI,edqznxnjob,dtpbtyzlhz,arfsvqeiul
lufgmskgep,edgppwxvdz,ABJ,hvewmgrmje,yqxnderaxj,janspnntmc
vrsrflbgdf,sgyfnyqgfb,ABK,hdvaaufcbn,hjuyyvpick,pxaeunulih
ybpoehgntg,rfasigqjhf,ABL,vihwtekjuv,gkuajutxvj,ehhstddgnl
zcqtodjtks,knjcgzuxjj,ABM,woxejbxnvx,souzxdlkbu,eovdphylyj
bktpmykpry,rzwzbyplex,ABN,tmyisvnwbe,zzfndcdbla,wxdwpejwcw
itnbhnbpbi,otzounrlyh,ABO,yoffvbttym,aymafrdlhz,kmtlxcayat
wkzvxrgfmj,qkqcxrhcjd,ABP,rvdzdrmfae,fjziqzxxsl,kirtqdwumf
szmphydxme,njecmdhlag,ABQ,xummfzvqhb,ptfkwqqcqr,zrxlbaxmtt
lyubcchsat,idpvzupswy,ABR,srzzkttvnc,atmxlnkcju,etttzqedds
shblxbqdzq,dttkwfooqn,ABS,wbjuxsijie,lzquvwgkag,nxyalqfgpg
hrvsaunbkb,kqayyxxlbj,ABT,joqogeeior,fhmtmxyjid,mebpqdtkve
oppqdsmvpe,eqywkkdbfs,ABU,niimeuunfs,hgcjsadedy,omdlahwyfu
rdmxppmmyc,vsnuwrryfh,ABV,imhbxtvawl,oolupcuabh,ffnertbdqn
qflspqqeqw,azrywcwydb,ABW,sngdqufapi,mpjzcceqsi,stgcdowgbv
tlbwxyhqce,gbaxfqpipd,ABX,gjzatvcjne,igesgaznnj,umvcssjwut
zxmdwcyaqi,lovwxumsux,ABY,ftmdzjoqpp,ppibpihwtv,xmpeectxms
mmjgsflxit,zwsimuiqxw,ABZ,thwkzkggop,vvjiaoyomd,sejkntfjas
