alpha_3,country,population2020,yearly_change,net_change,density,land_area,migrants,fertility_rate,med_age,urban,world_share,region
AAA,cwgmuvtduk,7568,379,9534,6616,3023,2985,2733,6613,9801,7237,2821
AAB,nkeetbrrys,3696,1307,5923,8867,4211,7315,9071,6546,9867,2871,3083
AAC,fxfmjmjiou,4831,265,5050,9609,3460,8994,2921,9910,3820,4467,4576
AAD,wkazcvltwt,5746,9009,3641,389,352,8334,6965,3301,7275,1741,5877
AAE,ccqwkpczrg,8665,2417,880,2867,2808,1615,8150,7261,1638,648,4659
AAF,hxoybsqbdw,2411,8841,6045,4858,6187,1270,8285,6039,7867,6086,3553
AAG,nyptgedupc,5101,2828,4000,639,5950,6684,8621,7429,3111,4039,7986
AAH,tnapncrivi,6719,7324,9127,7429,3754,7785,2666,7248,1421,1604,880
AAI,evrnjjchwn,3521,8728,9147,5927,7001,1955,6226,1959,7951,1024,4759
AAJ,fyoxohbsyh,334,4818,6967,5966,6014,5682,4939,4137,7389,6734,4674
AAK,ccamghgykc,2386,6799,4407,893,4351,4643,6114,5886,7153,3723,7866
AAL,akbmwshndu,4902,8613,4840,9300,7011,7100,3251,3589,1803,7184,8644
AAM,lhawdpkjql,9331,7920,4468,8292,6834,5741,6676,6596,7288,9393,8348
AAN,hyinklrwhc,9958,530,6472,6962,6972,4003,434,8699,6879,8135,4013
AAO,wyrrldddgk,6395,9366,769,7211,5766,7047,638,4167,9917,9972,4721
AAP,qwfibedhre,2713,8170,7339,1659,9910,8228,3250,7645,1878,7824,6092
AAQ,nngcjtmhdo,9221,7799,2261,4847,1121,609,7600,6029,3267,9117,6115
AAR,oeklguwnqb,2696,9666,2579,7089,2299,1820,3136,8346,282,1310,2177
AAS,wmxfsomkvn,4598,4277,1281,1791,4961,8068,5909,4001,4190,7089,9350
AAT,ikiydalton,6549,8367,2011,379,200,1664,2974,3233,5837,4193,3400
AAU,dtdpmvxgut,8839,1606,2130,8375,6085,8301,377,9336,3964,5249,4970
AAV,rhbpnlgwrv,3142,7638,5312,317,1463,1921,1817,8020,3419,1714,7160
AAW,dpnvnjjwwm,209,4903,9441,3379,7987,183,3399,9483,1437,383,7750
AAX,awbvitzbjz,779,4524,529,6486,8659,9179,1730,1663,3077,6328,6475
AAY,imktnhtkrs,934,868,2321,8240,4002,7368,890,6063,5392,9877,5377
AAZ,hkgwpboxhj,5914,1113,8162,1297,2978,4837,9542,6960,2490,608,8213
ABA,kogaavzeop,4134,2198,3678,3090,4714,3087,3373,7181,4396,3453,1072
ABB,qnaiibhxeg,2182,9075,3681,2938,7524,4860,1419,8337,9467,6868,4835
ABC,dhaolwabxm,7487,8186,3400,5263,6301,2983,3367,6779,2809,3949,7722
ABD,pzneujpyxa,2366,4716,1063,1901,6810,1959,1815,3685,9863,4842,6100
ABE,sxkqmkavam,6320,1539,7070,2458,9332,8729,2008,8028,3841,9568,5515
ABF,psaupnueye,9085,3849,2166,9962,5232,127,7562,3903,4687,2073,6520
ABG,yllsxlrlcp,4764,942,4690,1478,2857,845,8997,990,7631,1701,2146
ABH,czxyxzrxrc,3235,8470,1788,371,2075,6963,4669,96,1224,2177,1864
ABI,gombrbpznt,825,1522,4282,7948,7671,1334,851,9080,9370,8457,5994
ABJ,mkyhjcxxkc,8335,5734,727,2497,4909,6921,1697,5994,4561,6361,4146
ABK,wqxnjfsrww,3992,2889,9099,2668,7125,7727,8281,5086,8855,566,9921
ABL,nzccfbktlb,7001,5328,548,8826,4269,1186,7714,20,1032,2327,2923
ABM,dwkusecdnx,5027,5569,7269,9708,9839,9250,1402,4311,3621,8020,7331
ABN,arjschgnfm,8548,8043,4500,7097,5605,6908,3804,5115,2298,5858,9857
ABO,dpumtcpefh,9195,9674,3682,8865,4460,4616,5991,8478,158,7061,5668
ABP,dtnrxxajsn,7363,9849,6737,1114,809,5156,8878,3071,8117,3994,21
ABQ,ugjwkkqack,2284,5631,3975,7800,8749,9339,2243,115,1172,1881,2971
ABR,cfkkrxsrwu,4246,2501,9586,6706,1737,5121,5198,5995,6203,9056,932
ABS,rimrmmsuzr,5314,9391,5195,8601,1805,1210,9577,7682,2471,713,496
ABT,zudzogcnrg,1613,5751,8138,8999,5860,5062,451,6150,274,7865,2374
ABU,fzlwcerxyh,3433,5738,1566,6011,4079,4150,7146,9837,8106,6611,5927
ABV,nwlrfswxum,5217,8673,2992,5776,1824,6820,4139,8799,9809,8783,7861
ABW,bugdbemllh,9316,5949,7914,144,5212,1812,5708,1113,3855,9757,9016
ABX,osubcvtqnq,7011,6883,4993,6003,9072,8663,4882,4685,7671,127,1270
ABY,xvorntqnru,3525,1062,7562,8053,7791,1959,5125,5090,6724,3261,5178
ABZ,ciworrpaof,9691,5093,8300,8865,3580,9307,5750,52,3582,6405,6181
ACA,nyflwgdbmr,9806,6238,5704,998,7492,23,1050,5683,7116,954,9527
ACB,amvjpjgaeq,723,1870,9159,7395,2612,9026,6947,7553,9085,2905,9291
ACC,bomxnnteiq,6254,7044,663,5030,925,886,4439,1004,4108,7653,9630
ACD,gzjwqtgqxi,7180,4549,6253,6153,4427,4338,9286,1816,4184,7800,9831
ACE,wcirmmjviy,9773,6996,5734,1235,3598,3377,9149,3650,5306,5095,2267
ACF,hvvpvxzfwa,7317,3857,2512,9134,6739,2880,353,404,802,263,9939
ACG,clkogifyae,1984,8044,7191,4395,896,4620,1414,1671,7259,6450,2067
ACH,xmtoazurcf,8116,1749,39,3574,7831,843,6280,1956,3182,2393,2471
ACI,iuvttnoblx,687,9942,203,8347,4284,2305,4558,3089,6595,3766,4236
ACJ,fbslcmlrmh,138,4137,1975,1702,4796,1796,7339,8056,5197,7599,3046
ACK,fqwbjazxuv,7463,7714,342,3263,6497,3240,4594,417,5027,8358,6063
ACL,dpagqiiehf,6068,2380,9874,9066,479,4008,9203,4274,9916,836,5626
ACM,krmlnwbngg,2743,1369,5584,4567,9061,9667,5182,9788,8998,4913,3130
ACN,nczsbinnsi,5099,1669,2736,5810,7093,5245,8429,1946,2896,9053,7755
ACO,tpdcuucbsv,6503,5541,5457,5254,3648,7844,3867,6157,1600,6285,8791
ACP,abnsavcqxb,5116,8771,893,9699,4973,918,9322,9042,9054,6955,5539
ACQ,rvyxzdcoax,9763,6924,1902,6052,9997,33,2202,8615,7793,334,4756
ACR,zydfkzrdxm,5909,7878,4510,2426,5796,4670,2106,7909,6475,5118,1908
ACS,spoffnbscv,1223,3390,6871,8350,2429,5563,1071,7138,8267,4149,2550
ACT,keikelyzbf,4449,6274,681,286,8804,3611,7553,8151,2204,2624,2061
ACU,oavgsdnhjg,1296,4096,4777,562,7801,953,3457,3733,9244,7306,4349
ACV,aubbpneqqc,6841,3192,3859,653,1639,4646,1239,9640,2154,317,7777
ACW,evwxuohxyn,1661,6041,9309,43,2457,8485,460,7611,8148,202,1018
ACX,huudqirbqq,3695,2605,6650,1400,7109,7703,5026,9096,1744,8386,9410
ACY,sjegxitgum,3778,1777,4320,783,6211,39,3796,3490,2041,8366,4406
ACZ,siuvctftql,1226,1815,9543,9432,2203,6328,3397,6386,5281,587,4795
ADA,vdesoppltg,2679,2089,4182,8711,3411,5559,7890,2332,9802,1343,1071
ADB,woqgydnvtp,5635,225,7977,9172,815,5274,3758,6548,264,1345,48
ADC,pcyrpynbuj,7988,3439,7225,6486,3777,6647,5396,1551,5781,2465,2793
ADD,lxtxhdwedv,8609,4119,5181,6230,9155,153,4805,1413,969,6979,1927
ADE,pmmvbytiff,2495,3746,9973,1545,9355,7703,4510,3596,1942,6348,3161
ADF,svhhlnrntj,1621,8744,9279,3334,6020,5556,282,5691,6442,9593,2184
ADG,jnikkkvvsa,6984,9005,8855,9619,9584,9834,3902,3409,8358,1253,1649
ADH,dkfofslgnc,4228,9621,6505,7225,3573,1363,3472,4347,7341,876,4792
ADI,jqzltxawdo,7967,8692,8296,2575,8847,1303,3798,50,3723,2425,9269
ADJ,vmypqpkqic,5677,435,2823,6756,6958,1016,5780,3253,4545,6745,7898
ADK,hmbvsfbuwb,3193,9496,5726,3512,3700,8578,7828,4658,3365,2001,7705
ADL,pkbyljxwqn,3108,9148,7738,3450,5653,3197,742,7013,6856,5675,7381
ADM,owabfwdbxz,2726,2795,5223,7274,4941,8565,6483,8209,5610,8786,8006
ADN,kpililjeci,9381,4505,7305,8662,8089,5076,2322,6659,6916,9792,1429
ADO,dawjspkpsg,4468,6038,2563,3384,8850,1820,1964,7199,995,1880,9498
ADP,aqrvlvyvlc,5223,4521,6751,3187,8292,4734,6667,5054,9417,1898,4621
ADQ,dmfhijlpzo,5095,3344,786,5984,902,4645,6491,9839,9628,4057,6023
ADR,cyyjqrtdol,322,5819,9370,593,7936,8011,5132,7802,5443,4114,787
ADS,urvzjrhiar,5866,504,9750,6535,723,7659,5956,8981,8345,3301,1482
ADT,xnourqplan,3043,2301,1368,5344,7633,7333,9143,1320,8084,6327,2926
ADU,pqmhrkqagn,7970,9861,5320,9997,4202,5332,2800,8071,8158,783,6010
ADV,erclxjfblb,7514,7404,4020,1789,4348,8096,8589,3971,4204,8284,3208
ADW,ebrosiwchs,2419,3143,812,2208,620,5782,9931,7324,273,4335,1502
ADX,mfcabnkdkg,9156,2063,8208,7192,1170,242,3178,7412,6226,4549,232
ADY,uahdnqjzan,6866,4874,4680,6093,8912,7051,2904,9373,5766,8438,9935
ADZ,vtzysclyqi,5738,594,3377,4023,1464,2507,2657,1493,9266,753,7671
AEA,ykvsspapja,9428,3560,78,7001,1570,8674,7933,4708,7873,5032,2978
AEB,jgfcnbhwyi,2928,4125,7285,4193,1899,9689,4563,7071,7961,731,1136
AEC,tpulutpzql,2099,4912,5505,5549,5221,3383,7455,6064,5566,7966,511
AED,odmjintwqy,618,5192,8065,7764,2220,2108,7875,6159,533,7070,9379
AEE,elsxkejqkv,6513,2292,968,8924,4265,7364,733,8017,4503,7613,5639
AEF,kjvsbxomyn,9437,4639,2928,9180,6304,2185,5559,12,2373,6038,4379
AEG,aqyaduyggh,3987,7258,1895,738,8448,7395,6659,6118,3370,1285,2265
AEH,ormhcpuysf,9410,5794,7543,4943,8428,5577,8812,7871,4940,7801,2625
AEI,gzbpyzdscz,6633,7949,8110,115,781,4496,3118,6567,2067,5793,3701
AEJ,bhcqovhbxc,9866,1258,4768,5439,7688,3773,8214,6314,1975,5846,344
AEK,gfwhadydiy,2426,4902,3536,1728,7579,1279,892,2817,3359,3888,5184
AEL,ljwatjxkuv,9362,7670,3470,6322,2837,3985,6349,1070,3862,3814,2184
AEM,swndgiqvdg,257,3985,8140,3863,7080,3546,6889,7603,4378,3861,4188
AEN,nzbsokmkqd,3264,5588,48,7474,847,4136,7825,92,700,7728,9038
AEO,vitazimijk,3112,9504,7752,372,7571,888,1878,6447,3646,336,7561
AEP,zfyxpwrjfv,8420,909,2082,4916,5613,4629,5790,9088,5177,81,1506
AEQ,hqsqjfitsn,1858,8691,2298,5131,5951,7024,8594,6487,696,6193,9303
AER,mqhfgalwkk,4458,121,2115,1941,3319,9967,2516,561,3612,3882,9982
AES,cpniimoqup,6254,9501,4390,1997,327,6250,5373,6992,2728,5721,7533
AET,ifxekkacua,8998,3219,5522,9779,8371,5147,6261,5629,3734,309,7512
AEU,kpwyzcbvuo,4114,4328,6321,6035,1125,9356,8656,1644,7858,6453,2453
AEV,vzywxrjoei,5022,8155,3832,2522,6066,4624,1881,6890,4764,3936,3791
AEW,ddxkfixvvg,3959,316,9586,6883,8157,1314,9467,9611,8243,7594,7432
AEX,ocusyottqg,7327,7829,5362,9267,2468,1862,565,6162,3136,9762,4878
AEY,qvhfltwbfe,9951,24,1783,9264,9415,858,8680,287,1602,4651,4837
AEZ,zxtnrwrufo,6367,4307,5967,2739,7940,7698,9790,4208,9414,8383,606
AFA,xvnhcsdmmk,4836,7076,8774,8372,800,516,3999,2006,4020,8101,8316
AFB,aqpkmbghab,8088,5291,4434,1354,2847,5919,9299,7247,3681,4739,6671
AFC,seubuurnwz,5183,3545,6815,2648,6228,3833,8082,1775,7523,8031,2712
AFD,lymcswnwyt,859,8186,391,4867,4320,1682,4137,6576,411,2138,6796
AFE,gtqekkctrv,9309,9107,9101,2934,5349,6714,1418,7241,3284,8332,3800
AFF,sktgxsnqxu,9977,9951,9734,5467,1770,7169,9513,2957,474,6448,2715
AFG,uqzuwfrsfo,1556,3919,4041,4772,4834,9170,629,3823,361,1021,2872
AFH,ewkkkpgahc,4372,3028,6200,6029,1425,5932,5523,3793,8229,9661,9807
AFI,wzpzyplfzf,6822,3261,892,4568,1390,1874,5701,9476,2621,3689,3100
AFJ,lmikbhcewm,8177,4887,104,2302,1570,4868,4884,1921,2662,4529,3748
AFK,tbgkhezqze,7315,6483,4209,8653,4856,9522,2211,1474,3000,1443,8017
AFL,yiejlpoqwi,2523,7115,1924,8868,9787,5428,6927,1172,2070,3615,2796
AFM,emjhqvdrbo,705,5535,7886,255,4304,5536,1706,8362,9733,3978,9451
AFN,ckvkmlqnfj,1658,8758,9965,7884,8241,2349,7941,4073,5554,2305,7977
AFO,djqwdrxgpu,404,8224,7642,2391,8537,7821,7947,6809,1575,2907,3108
AFP,ytwirenfwh,884,2817,4978,5601,1067,903,6707,8752,1534,4195,4820
AFQ,nfmtoxlkuq,4220,5558,8772,1320,7205,3076,3357,4511,5604,8613,4252
AFR,wbborcygra,2755,3677,1290,9282,3593,4665,672,4558,5581,7495,9639
AFS,gqazroyzvq,7575,3760,20,5891,2452,5705,211,7439,2959,6369,101
AFT,tcosjinfok,9576,9267,5407,9710,4817,8925,3440,7806,3835,3846,8310
AFU,yepvlaxagj,487,3572,6216,624,4131,2132,7528,6684,6197,389,8023
AFV,anefprgcpk,4365,6692,365,956,9977,6826,6750,6080,3440,7402,1345
AFW,rlhuwokorq,9726,8607,287,4509,507,8033,920,6178,6589,7544,8797
AFX,usslxyowwh,6526,5369,7715,653,9492,9156,4954,9531,7933,6751,615
AFY,nngytbtfqn,3666,5715,5916,1229,976,4090,8290,5489,1338,4640,6638
AFZ,bjqlyymcri,2766,9359,5501,4397,1313,6157,7045,9967,2582,750,538
AGA,girubwwvss,741,1383,5160,1219,330,1201,4160,6549,4414,9112,1930
AGB,fijguzbzat,828,1114,5150,1073,7195,5714,8607,4232,8767,4420,2244
AGC,nqvfwbyxbk,1195,1281,1178,5026,8959,8121,7359,5225,6200,2547,8984
AGD,mjeryakdka,5326,7662,8527,7258,1898,4907,8077,2766,4243,3946,132
AGE,yenrrmqjmq,7756,157,2759,8717,5456,6155,3067,3470,4966,2210,6711
AGF,cmdhpdqkbe,2151,6492,3993,23,6038,8312,6877,2577,4341,9075,5594
AGG,enbtplruiw,6193,3482,481,613,6165,4497,8000,3300,6402,505,2151
AGH,ayryzblbki,3888,7730,7574,4397,2948,4085,8209,8655,5604,7492,8491
AGI,yuljlgwgag,3890,3966,9382,3691,4997,7099,1224,9602,4304,9041,6938
AGJ,nwadpgwdox,5055,6865,3824,1736,6733,6331,1550,349,4139,6817,4602
AGK,qnnnczvygs,1296,416,3555,6699,667,446,3444,7605,5100,2700,5936
AGL,ehrfpuqyau,5016,2302,6891,8632,8242,3288,2372,2826,7948,7294,5728
AGM,jvwymxphoq,901,1831,5329,6242,661,7441,7357,969,7864,7042,878
AGN,mrcdbwkmvi,2441,4609,281,5779,5818,6488,9920,4645,5887,6407,5216
AGO,ybbukxizrf,2599,253,3467,1885,6210,150,8063,9281,1946,9267,5613
AGP,ezlkchevoi,3883,2323,7658,2522,5603,4868,2657,6845,2526,2540,3779
AGQ,siuslpnudv,5048,1282,5698,6535,7406,1470,5421,7033,5857,9286,934
AGR,cquwrwqolu,4605,6035,6748,6961,652,757,1270,8199,7512,7143,2324
AGS,zrfzcrhktm,2378,5245,2352,9977,9874,5775,3785,2578,1379,702,3621
AGT,mhsuydvedu,5321,7323,2290,7857,6837,9215,8720,8853,1702,1184,9482
AGU,ocybazsoux,9080,3172,7616,4441,856,1847,3446,6165,3204,4461,620
AGV,smbdhjunhl,4259,9189,96,9381,8979,5696,648,3610,3637,2317,2919
AGW,ibezhkwtbc,5375,2279,540,1762,1054,5206,791,4009,9432,7674,3874
AGX,pjskmelcjf,5228,6952,7326,3512,5841,9234,2557,3621,9838,5857,8896
AGY,bjybphvtbi,2467,4697,7918,5853,1683,2132,374,4545,7842,2659,7116
AGZ,vymvhyxnsq,2863,3032,6269,9609,8945,2966,3278,356,7234,6424,8550
AHA,kijfprrocf,1307,6821,2757,1927,3898,8722,2430,5974,4784,9600,9346
AHB,iywbbukvvm,5092,8642,5184,8465,8573,8439,4819,7443,5354,7407,7437
AHC,wddlacracj,4409,8979,8772,4572,3945,7924,2782,8125,5692,8208,120
AHD,lmwudoagqn,5960,6592,3892,4761,6104,9505,28,7575,2382,6721,2181
AHE,xdynfnjqhb,8586,6988,751,2163,1398,6407,1864,1790,6399,2004,8534
AHF,tiannhbwam,7156,1426,1507,721,9328,8741,6492,3177,9797,984,9519
AHG,sqcfriwiot,565,7375,1254,9887,8886,3179,617,6595,8229,3795,5003
AHH,veydkvkenr,8605,181,3952,6269,4523,2358,1044,8958,5384,7605,9983
AHI,jxelwathjg,6488,6123,9078,8498,9586,6560,605,5382,3864,8124,6183
AHJ,vgnxbemgyh,6032,7874,2323,7527,9779,9751,1395,6838,7501,1355,1282
AHK,gmqfbngeml,6854,1078,1315,2557,9451,8698,4779,784,6402,7454,6841
AHL,ssywmrracs,1772,7557,6852,6703,6056,9686,974,4481,4689,3446,9401
AHM,bjioifdxim,8371,7285,3487,6069,7793,7765,2182,7959,9085,8510,1893
AHN,bwbmiwbxde,8149,3510,5109,4658,6742,7357,9823,995,6080,1325,7671
AHO,rwegpdykma,9673,63,8764,2913,9256,3423,8513,6521,2227,3618,3735
AHP,kzykbfvjhz,9638,9936,1220,8661,4551,9167,6484,5975,8410,1249,3716
AHQ,laddkfaiqg,6474,8272,7101,9384,3304,7603,1877,2643,2464,9150,1888
AHR,mxarccpzjd,1337,5095,6598,7316,3673,9660,2484,8526,1097,2794,6397
AHS,zpnecbhoud,579,3970,9520,1612,5034,745,5219,8512,1734,2647,8079
AHT,pepqqhzfvx,1688,6418,1492,4297,2451,6340,6957,2573,6730,7625,5244
AHU,wqhlsxtgyg,1031,3356,5135,6447,5960,6498,2503,3593,2421,7771,4539
AHV,bqguyapmtn,1112,1106,9539,2440,5599,9146,5081,350,5273,3945,9853
AHW,vmboiatawr,8199,3083,9324,410,5594,8055,8104,3906,9891,480,9431
AHX,nwljnxnrno,6358,310,7106,3989,7840,2291,6624,6112,2812,2104,4107
AHY,fjudxloliv,8826,3488,5898,4924,4950,421,7686,8192,5331,6312,2647
AHZ,ruposjqsog,1772,9590,7466,8626,7513,3734,1647,6676,4926,487,9390
AIA,ubozzmokdh,3262,9648,1120,1626,1166,909,1500,8188,4818,2608,6396
AIB,vkflssdvie,5018,3272,1653,2748,9950,2991,8836,3412,3640,8974,5800
AIC,jbmwkaohxy,897,268,5574,5709,2352,7924,321,1146,4402,2820,2071
AID,yxtuqeeqsp,6060,2665,365,6459,4886,6670,6592,6755,4619,648,2051
AIE,luirkgeuct,4425,6549,122,6274,11,5984,7534,5027,3076,5247,7581
AIF,qttroaywfa,4699,9975,2977,6653,1436,3506,618,6597,6323,7855,3482
AIG,hrprwgrhjh,3007,3361,2115,6453,5821,6770,7998,7218,9934,5662,9222
AIH,wvkkwgonsv,8891,1812,2774,5258,3774,7093,3524,2071,3350,3476,866
AII,qsqcgvemgy,7062,286,2658,1774,6877,5062,1346,6606,3732,651,2381
AIJ,pdkdfmtmjt,8337,3736,738,7175,5832,5981,3358,2589,710,5672,639
AIK,pfdhjycxeu,3642,1693,2890,9963,6552,7690,9541,1894,1621,6479,5403
AIL,vyvmqdabya,9392,2517,2680,7073,9367,8691,9878,3661,9723,6343,2090
AIM,uxwienxuka,5158,1232,6469,4746,6430,6336,8363,2877,4594,5049,2368
AIN,slisfzfhtm,1518,2210,2827,5693,4543,1321,6902,8650,4697,4848,8477
AIO,srjyqyauxa,5278,9161,3073,5610,4421,8064,4503,8559,2836,4790,3188
AIP,faeevkljau,4619,265,6146,9390,129,1695,3809,6972,8204,3293,9835
AIQ,gsjbnmpaac,3208,7119,6834,217,4002,9111,8973,3106,6796,3364,761
AIR,woxxsultbw,5226,3230,7766,1100,2019,8512,7526,1292,4665,4324,9566
AIS,amwimpibbr,5190,6945,8162,4360,2896,5798,6325,5797,6957,1682,4852
AIT,rknvnhmrfh,2119,6289,9555,642,4206,5896,8341,8447,9219,870,5557
AIU,mcifzmkohf,251,7751,9958,6067,5571,7316,7083,5272,2169,8315,915
AIV,bfqrhhktzh,4659,7557,4578,553,1936,3614,3530,3154,464,8440,2456
AIW,tpvyajcozm,5361,744,1390,1973,9032,3363,2441,2454,4103,4158,5058
AIX,vltkpfpapn,245,5984,7990,7292,812,631,1390,6471,237,735,5152
AIY,ibmjkpifos,338,6107,9579,7097,3285,7432,7474,9371,2468,9190,498
AIZ,dbradqtlbg,6467,2009,4100,2175,5610,6554,9270,3255,7552,3752,9905
AJA,yqhvwvryvn,9826,8676,7100,8076,1623,7856,9623,8852,4923,3364,1789
AJB,igtrzreylh,8269,8551,6849,9514,7234,6941,2976,5312,9347,3880,4942
AJC,lrqrrutqbw,557,9254,2760,1354,444,9736,7382,8319,2813,4016,8025
AJD,ugshpvzsmp,1537,7226,6921,5763,2157,423,896,2984,6091,667,1257
AJE,cyxfgnvnfl,3374,1365,1948,9963,431,7927,3409,6538,9751,433,3887
AJF,lbezagmtkq,7902,2868,6004,8252,5165,5381,7889,4370,1590,3043,331
AJG,aramvaocma,4530,650,3749,1688,9045,7430,9896,7097,9696,4985,4380
AJH,uuyszsmcce,111,8347,2920,3024,64,7828,1412,9513,183,8122,2509
AJI,jkvrwynjgk,4120,7869,1858,6272,9456,7556,2424,2304,137,2684,660
AJJ,zbihcqdwcl,5150,1980,8820,1098,3063,5468,1422,3707,7652,8085,71
AJK,hialilgbjb,789,9866,9456,4393,3287,7778,7545,8403,2683,2309,7089
AJL,bjzgsexwke,8136,1321,9716,6095,3256,4184,4739,162,6790,324,9360
AJM,dplyolcezg,8212,2885,3134,4911,1468,5672,5468,9050,456,176,1108
AJN,sqjxottyst,2037,4225,9014,2687,3305,3832,5846,6179,2925,6590,913
AJO,ckcccuxfsq,4154,1859,9632,203,2225,2331,751,6499,2311,1416,1966
AJP,twpquzqjej,734,9304,7352,4316,8067,3623,122,4583,9276,7260,9723
AJQ,szceqiderv,1085,6870,1012,7026,4090,4952,7911,9036,4263,4930,7457
AJR,fnnshaovpr,6188,4818,1218,6502,7560,9027,330,340,7059,4537,5752
AJS,guwvxhbuha,8113,3383,4948,7782,8824,2138,2229,2675,7886,2480,3824
AJT,eopwretshu,4016,6027,195,7576,2878,5833,6902,6246,2758,5273,5522
AJU,yayqkbdqjz,5492,2722,8918,7340,5342,6161,3196,3860,5287,3623,4246
AJV,kgdjbdctgd,5553,6304,1631,7356,1281,9898,615,1391,3227,5485,3195
AJW,nigzmmrfdr,9887,3764,1746,4406,5115,1627,6709,1380,1361,2638,8025
AJX,ygenphzwjj,32,9697,9275,1295,7539,5560,5284,7422,4990,8057,4531
